nivel_territorial_cod,nivel_territorial_nome,unidade_medida_cod,unidade_medida_nome,valor,geo_cod,geo_nome,variavel_cod,variavel_nome,setor_cod,setor_nome,periodo_trimestral
1,Brasil,1550,Milhões de Reais,14539.09,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1997Q1
1,Brasil,1550,Milhões de Reais,5602.87,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1997Q1
1,Brasil,1550,Milhões de Reais,4034.61,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1997Q1
1,Brasil,1550,Milhões de Reais,16864.15,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1997Q1
1,Brasil,1550,Milhões de Reais,15569.61,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1997Q1
1,Brasil,1550,Milhões de Reais,23474.49,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1997Q1
1,Brasil,1550,Milhões de Reais,26617.16,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1997Q1
1,Brasil,1550,Milhões de Reais,158664.99,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1997Q1
1,Brasil,1550,Milhões de Reais,184299.61,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1997Q1
1,Brasil,1550,Milhões de Reais,119926.72,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1997Q1
1,Brasil,1550,Milhões de Reais,37061.48,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1997Q1
1,Brasil,1550,Milhões de Reais,38556.3,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93406,Formação bruta de capital fixo,1997Q1
1,Brasil,1550,Milhões de Reais,13960.87,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93407,Exportação de bens e serviços,1997Q1
1,Brasil,1550,Milhões de Reais,19830.58,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93408,Importação de bens e serviços (-),1997Q1
1,Brasil,1550,Milhões de Reais,8878.95,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90687,Agropecuária - total,1997Q2
1,Brasil,1550,Milhões de Reais,43059.45,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90691,Indústria - total,1997Q2
1,Brasil,1550,Milhões de Reais,1172.32,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90692,Indústrias extrativas,1997Q2
1,Brasil,1550,Milhões de Reais,26434.65,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90693,Indústrias de transformação,1997Q2
1,Brasil,1550,Milhões de Reais,4028.85,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90695,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos",1997Q2
1,Brasil,1550,Milhões de Reais,11677.58,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90694,Construção,1997Q2
1,Brasil,1550,Milhões de Reais,107057.09,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90696,Serviços - total,1997Q2
1,Brasil,1550,Milhões de Reais,14666.18,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90697,Comércio,1997Q2
1,Brasil,1550,Milhões de Reais,5847.36,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90698,"Transporte, armazenagem e correio",1997Q2
1,Brasil,1550,Milhões de Reais,4128.81,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90699,Informação e comunicação,1997Q2
1,Brasil,1550,Milhões de Reais,16658.34,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90700,"Atividades financeiras, de seguros e serviços relacionados",1997Q2
1,Brasil,1550,Milhões de Reais,15686.9,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90702,Atividades imobiliárias,1997Q2
1,Brasil,1550,Milhões de Reais,23604.93,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90701,Outras atividades de serviços,1997Q2
1,Brasil,1550,Milhões de Reais,26429.97,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90703,"Administração, saúde e educação públicas e seguridade social",1997Q2
1,Brasil,1550,Milhões de Reais,159076.67,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90705,Valor adicionado a preços básicos,1997Q2
1,Brasil,1550,Milhões de Reais,185327.33,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,90707,PIB a preços de mercado,1997Q2
1,Brasil,1550,Milhões de Reais,120257.16,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93404,Despesa de consumo das famílias,1997Q2
1,Brasil,1550,Milhões de Reais,36912.66,1,Brasil,9319,Valores encadeados a preços de 1995 com ajuste sazonal,93405,Despesa de consumo da administração pública,1997Q2
